cluster	am	ar	br	ca	cp	da	hl	ho	mo	lo	ne	oy	pb	sa	sh	sm	ur	example
sgene157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
